,"页面URL","访客数(UV)","IP数","贡献浏览量","跳出率","平均访问时长",
,"总计","2,872","2,785","4,765","82.62%"," 00:02:59",
1,"https://jupyter.cn","503","500","1,161","67.38%"," 00:02:51",
2,"http://jupyter.cn","48","48","326","36.49%"," 00:07:32",
3,"http://localhost:4000","9","8","141","22.22%"," 00:25:48",
4,"https://jupyter.cn/2018/11/29/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E5%B9%B3%E7%A8%B3%E5%BA%8F%E5%88%97%E7%9A%84%E7%9F%A2%E9%87%8F%E9%80%92%E6%8E%A8%E9%A2%84%E6%8A%A5.1","6","6","87","83.33%"," 00:11:15",
5,"https://jupyter.cn/2018/11/01/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E7%AE%80%E5%8D%95%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92%E6%A8%A1%E5%9E%8B","50","50","62","86%"," 00:02:32",
6,"https://jupyter.cn/2018/05/04/eprime%E5%A4%A7%E9%87%8F%E6%A1%88%E4%BE%8B%E7%A8%8B%E5%BA%8F%E4%B8%8B%E8%BD%BD","48","48","60","87.76%"," 00:03:00",
7,"https://jupyter.cn/2018/10/30/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E9%9D%9E%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92","38","38","53","84.62%"," 00:02:19",
8,"https://jupyter.cn/2018/11/16/AmosMplusHLM%E7%BB%93%E6%9E%84%E6%96%B9%E7%A8%8B%E6%A8%A1%E5%9E%8B%E5%A4%9A%E5%B1%82%E7%BA%BF%E6%80%A7%E6%A8%A1%E5%9E%8B%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1%E5%92%A8%E8%AF%A2","43","43","50","86.36%"," 00:03:34",
9,"https://jupyter.cn/2019/08/12/questionaire-43775166","16","16","41","76.47%"," 00:01:52",
10,"https://jupyter.cn/2019/08/26/questionaire-44633749","23","24","36","80.77%"," 00:01:24",
11,"https://jupyter.cn/2018/10/29/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E9%9D%9E%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92","20","20","36","60%"," 00:04:17",
12,"https://jupyter.cn/2019/08/31/questionaire-44891173","5","6","33","42.86%"," 00:08:19",
13,"https://jupyter.cn/2019/06/02/questionaire-38475821","18","18","22","83.33%"," 00:05:49",
14,"https://jupyter.cn/tags/%E9%97%AE%E5%8D%B7%E4%BB%A3%E5%A1%AB","11","11","21","63.64%"," 00:03:29",
15,"https://jupyter.cn/2019/09/20/questionaire-46007953","17","17","21","89.47%"," 00:01:03",
16,"https://jupyter.cn/tags/%E9%97%AE%E5%8D%B7%E5%A4%A7%E5%85%A8","5","5","21","20%"," 00:02:46",
17,"https://jupyter.cn/2019/07/15/questionaire-41103914","13","13","21","84.62%"," 00:01:00",
18,"https://jupyter.cn/2019/06/27/questionaire-41573270","19","19","20","100%"," 00:05:50",
19,"https://jupyter.cn/2018/10/30/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E6%80%BB%E4%BD%93%E5%9D%87%E6%95%B0%E4%BC%B0%E8%AE%A1","16","16","20","88.24%"," 00:01:35",
20,"https://jupyter.cn/tags/%E4%BA%BA%E5%B7%A5%E5%A1%AB%E9%97%AE%E5%8D%B7","13","13","20","80%"," 00:02:33",
21,"https://jupyter.cn/tags/Eprime","2","2","19","0%"," 00:07:33",
22,"https://jupyter.cn/2019/08/23/questionaire-43592602","1","1","19","0%"," 00:07:25",
23,"https://jupyter.cn/2019/07/09/questionaire-42197836","2","2","19","50%"," 00:09:28",
24,"https://jupyter.cn/2018/10/30/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E4%BA%A4%E4%BA%92%E6%95%88%E5%BA%94","16","16","18","87.5%"," 00:01:18",
25,"https://jupyter.cn/2019/10/16/questionaire-QzieQf","2","2","18","50%"," 00:14:55",
26,"https://jupyter.cn/2018/11/29/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E7%AE%80%E5%8D%95%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92%E6%A8%A1%E5%9E%8B.1","15","15","18","80%"," 00:05:28",
27,"https://jupyter.cn/2018/11/27/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E9%9D%9E%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92.1","14","14","18","78.57%"," 00:03:12",
28,"https://jupyter.cn/2018/08/31/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E6%A3%80%E9%AA%8C%E5%8A%9F%E6%95%88%E5%87%BD%E6%95%B0","11","11","17","81.82%"," 00:01:42",
29,"https://jupyter.cn/tags/%E5%88%B7%E9%97%AE%E5%8D%B7","8","8","17","37.5%"," 00:05:00",
30,"https://jupyter.cn/2019/10/22/questionaire-47911427","14","14","17","92.86%"," 00:03:48",
31,"https://jupyter.cn/2019/07/24/questionaire-42793389","15","15","17","93.33%"," 00:02:29",
32,"https://jupyter.cn/2019/08/12/questionaire-43684199","10","10","17","72.73%"," 00:02:00",
33,"https://jupyter.cn/2018/08/21/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E7%A6%BB%E6%95%A3%E5%9E%8B%E9%9A%8F%E6%9C%BA%E5%8F%98%E9%87%8F","13","13","16","76.92%"," 00:01:27",
34,"https://jupyter.cn/archives","3","3","16","66.67%"," 00:01:55",
35,"https://jupyter.cn/2019/07/13/questionaire-42669165","2","2","16","0%"," 00:04:42",
36,"https://jupyter.cn/2019/07/22/questionaire-42725738","13","12","16","92.86%"," 00:04:04",
37,"https://jupyter.cn/2018/10/31/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-SPSS-%E5%8D%95%E8%B0%83%E5%9B%9E%E5%BD%92","9","10","15","90.91%"," 00:01:41",
38,"https://jupyter.cn/2019/08/08/questionaire-43661829","13","13","15","92.31%"," 00:01:19",
39,"https://jupyter.cn/2018/08/23/%E7%A8%8B%E5%BA%8F%E5%BC%80%E5%8F%91-psychopy-%E8%A7%86%E8%A7%89%E6%8A%80%E8%83%BD%E8%AE%AD%E7%BB%83","2","2","15","50%"," 00:01:52",
40,"http://www.jupyter.cn","2","2","15","50%"," 00:24:37",
41,"https://jupyter.cn/2019/08/18/questionaire-41500034","12","9","15","92.86%"," 00:03:47",
42,"https://jupyter.cn/2019/07/01/questionaire-41314174","10","10","14","80%"," 00:07:44",
43,"https://jupyter.cn/2018/05/04/eprime3-0%E8%AF%95%E7%94%A8%E7%89%88%E5%AE%89%E8%A3%85%E4%BD%93%E9%AA%8C-%E9%99%84%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80","8","9","14","81.82%"," 00:05:20",
44,"https://jupyter.cn/2018/08/21/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E7%BA%BF%E6%80%A7%E8%A7%84%E5%88%92%E6%95%B0%E5%AD%A6%E6%A8%A1%E5%9E%8B","13","13","14","92.31%"," 00:00:55",
45,"https://jupyter.cn/2019/08/16/questionaire-44033553","14","14","14","100%"," 00:01:15",
46,"https://jupyter.cn/2019/08/11/questionaire-43941039","14","5","14","100%"," 00:01:45",
47,"https://jupyter.cn/2019/07/22/questionaire-43056902","10","11","13","91.67%"," 00:04:06",
48,"http://www.mlln.cn","6","6","13","83.33%"," 00:01:01",
49,"https://jupyter.cn/tags/STATA","6","4","12","83.33%"," 00:01:39",
50,"https://jupyter.cn/2019/08/22/questionaire-44257294","12","12","12","100%"," 00:04:29",
51,"https://jupyter.cn/tags/%E5%A4%9A%E5%85%83%E7%BB%9F%E8%AE%A1%E5%88%86%E6%9E%90","4","4","12","50%"," 00:01:53",
52,"https://jupyter.cn/2019/09/04/questionaire-45080703","10","11","12","90.91%"," 00:01:29",
53,"https://jupyter.cn/2019/06/25/questionaire-40976403","10","10","12","80%"," 00:01:10",
54,"https://jupyter.cn/2019/07/31/questionaire-43151992","12","12","12","100%"," 00:02:45",
55,"https://jupyter.cn/2019/07/23/questionaire-42831185","4","5","11","50%"," 00:05:56",
56,"https://jupyter.cn/2019/08/20/questionaire-44304067","2","2","11","50%"," 00:02:55",
57,"https://jupyter.cn/2019/08/18/%E7%BD%91%E7%BB%9C%E9%97%AE%E5%8D%B7%E4%BB%A3%E5%A1%AB-%E6%A0%B7%E6%9C%AC%E6%94%B6%E9%9B%86-%E6%95%B0%E6%8D%AE%E9%87%87%E9%9B%86%E6%9C%8D%E5%8A%A1","6","6","11","66.67%"," 00:02:13",
58,"https://jupyter.cn/2018/08/21/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E7%BA%BF%E6%80%A7%E8%A7%84%E5%88%92%E6%95%B0%E5%AD%A6%E6%A8%A1%E5%9E%8B","6","6","11","33.33%"," 00:02:16",
59,"https://jupyter.cn/2019/08/15/questionaire-44086863","8","8","11","77.78%"," 00:05:19",
60,"https://jupyter.cn/2019/09/12/questionaire-45557314","6","6","11","71.43%"," 00:04:23",
61,"https://jupyter.cn/2019/06/30/questionaire-42104794","9","9","11","90%"," 00:08:50",
62,"https://jupyter.cn/2019/08/05/questionaire-43620788","8","8","11","75%"," 00:10:46",
63,"https://jupyter.cn/2018/08/29/%E7%A8%8B%E5%BA%8F%E5%BC%80%E5%8F%91-Eprime-%E4%BD%8D%E7%BD%AE%E7%BC%96%E7%A0%81","4","5","11","40%"," 00:04:37",
64,"https://jupyter.cn/2018/11/15/%E4%BB%A3%E5%81%9AautodynlammpsMatlab%E4%BB%A3%E5%81%9AGarch-Midas-X%E6%A8%A1%E5%9E%8BDCC-Midas-X%E6%A8%A1%E5%9E%8B","8","8","11","77.78%"," 00:00:54",
65,"https://jupyter.cn/2018/11/01/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Eviews-%E4%BA%A4%E4%BA%92%E6%95%88%E5%BA%94","9","9","10","88.89%"," 00:01:15",
66,"https://jupyter.cn/2019/10/13/questionaire-47311427","4","4","10","50%"," 00:09:09",
67,"https://jupyter.cn/2019/09/29/questionaire-46224201","10","10","10","100%"," 00:02:22",
68,"https://jupyter.cn/2019/06/30/questionaire-42131164","5","5","10","66.67%"," 00:07:11",
69,"https://jupyter.cn/2018/08/21/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-Zoutendijk%E5%8F%AF%E8%A1%8C%E6%96%B9%E5%90%91%E6%B3%95","8","8","10","88.89%"," 00:03:09",
70,"https://jupyter.cn/2019/08/26/questionaire-44467903","6","6","10","75%"," 00:01:12",
71,"http://www.mlln.cn/2018/08/21/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E5%A4%9A%E9%98%B6%E6%AE%B5%E6%8A%BD%E6%A0%B7","2","2","10","50%"," 00:09:07",
72,"https://jupyter.cn/2018/08/21/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E8%83%8C%E5%8C%85%E9%97%AE%E9%A2%98","9","9","9","100%"," 00:01:34",
73,"https://jupyter.cn/2019/11/08/questionaire-48290834","8","8","9","100%"," 00:02:47",
74,"http://www.jupyter.cn/tags","1","1","9","0%"," 00:00:27",
75,"https://jupyter.cn/2019/10/02/questionaire-46503309","8","6","9","100%"," 00:01:54",
76,"https://jupyter.cn/2018/09/19/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E7%9B%B4%E6%8E%A5%E5%88%86%E8%A7%A3%E6%B3%95","7","7","9","85.71%"," 00:01:45",
77,"https://jupyter.cn/2019/06/27/questionaire-41840044","9","9","9","100%"," 00:02:16",
78,"https://jupyter.cn/2018/10/31/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E9%A2%91%E5%9F%9F%E5%88%86%E6%9E%90","9","9","9","100%"," 00:01:20",
79,"https://jupyter.cn/2019/07/05/questionaire-42161976","4","4","9","60%"," 00:01:01",
80,"https://jupyter.cn/2019/08/22/questionaire-43974727","5","5","9","66.67%"," 00:09:47",
81,"https://jupyter.cn/2018/09/03/python%E7%88%AC%E8%99%AB%E7%AE%97%E6%B3%95%E4%BB%A3%E5%86%99%E4%BB%A3%E5%81%9Ajava-matlab-r%E8%AF%AD%E8%A8%80-stata%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E7%95%99%E5%AD%A6%E7%94%9F","9","8","9","100%"," 00:00:48",
82,"https://39.98.50.19","1","1","9","0%"," 00:02:02",
83,"https://jupyter.cn/2019/07/25/questionaire-43160966","9","9","9","100%"," 00:01:16",
84,"https://jupyter.cn/2018/10/31/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-SPSS-%E5%AD%A3%E8%8A%82%E5%9B%9E%E5%BD%92%E6%A8%A1%E5%9E%8B","4","5","9","50%"," 00:01:34",
85,"https://jupyter.cn/2019/08/04/questionaire-43649633","8","8","8","100%"," 00:04:42",
86,"https://jupyter.cn/2019/08/07/questionaire-43334423","4","5","8","66.67%"," 00:02:31",
87,"https://jupyter.cn/2018/10/30/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-SPSS-%E7%BA%BF%E6%80%A7%E8%A7%84%E5%88%92%E5%85%B8%E8%8C%83%E5%9E%8B","6","6","8","83.33%"," 00:00:31",
88,"https://jupyter.cn/2019/10/13/questionaire-46692149","8","8","8","100%"," 00:04:49",
89,"https://jupyter.cn/2019/07/15/questionaire-42762601","6","6","8","85.71%"," 00:03:52",
90,"https://jupyter.cn/2019/10/16/questionaire-47414926","8","8","8","100%"," 00:01:11",
91,"https://jupyter.cn/2019/08/22/questionaire-43157752","8","2","8","100%"," 00:02:00",
92,"https://jupyter.cn/2019/08/06/questionaire-43651926","7","4","8","85.71%"," 00:01:21",
93,"https://jupyter.cn/2019/11/08/questionaire-49064200","7","4","8","85.71%"," 00:02:10",
94,"https://jupyter.cn/2019/08/11/questionaire-43862413","8","8","8","100%"," 00:01:35",
95,"https://jupyter.cn/2019/07/13/questionaire-42691134","3","3","8","66.67%"," 00:10:08",
96,"https://jupyter.cn/2019/08/07/questionaire-43753374","8","8","8","100%"," 00:01:44",
97,"https://jupyter.cn/tags/%E6%9C%8D%E5%8A%A1%E5%86%85%E5%AE%B9","3","3","8","75%"," 00:05:46",
98,"https://jupyter.cn/2019/08/27/questionaire-44630564","7","7","8","85.71%"," 00:07:50",
99,"https://jupyter.cn/2019/05/23/questionaire-39445381","7","7","8","85.71%"," 00:05:09",
100,"https://jupyter.cn/2018/09/01/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-R-%E9%97%A8%E9%99%90%E6%B7%B7%E5%90%88%E5%9B%9E%E5%BD%92%E6%A8%A1%E5%9E%8B","6","6","8","83.33%"," 00:00:35",
101,"https://jupyter.cn/2018/08/21/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Eviews-%E8%83%8C%E5%8C%85%E9%97%AE%E9%A2%98","6","6","8","83.33%"," 00:01:18",
102,"https://jupyter.cn/tags/%E9%97%AE%E5%8D%B7%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90","3","3","8","33.33%"," 00:17:41",
103,"https://jupyter.cn/2019/08/02/questionaire-42830687","5","5","8","66.67%"," 00:03:34",
104,"https://jupyter.cn/2019/08/02/questionaire-43576021","5","5","8","80%"," 00:01:29",
105,"https://jupyter.cn/2019/07/02/questionaire-42143274","6","7","7","100%"," 00:07:55",
106,"https://jupyter.cn/2019/08/26/questionaire-44495982","5","5","7","60%"," 00:04:40",
107,"https://jupyter.cn/2019/10/06/questionaire-46833881","5","5","7","80%"," 00:02:15",
108,"https://jupyter.cn/2018/11/27/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Eviews-%E4%B8%80%E5%85%83%E9%9D%9E%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92.1","3","3","7","50%"," 00:00:40",
109,"https://jupyter.cn/2019/10/13/questionaire-47274678","7","7","7","100%"," 00:02:16",
110,"https://jupyter.cn/2019/07/08/questionaire-42411203","3","3","7","0%"," 00:02:20",
111,"https://jupyter.cn/2019/09/17/questionaire-45766706","6","6","7","100%"," 00:05:43",
112,"http://jupyter.cn/2019/06/02/questionaire-39516185","2","2","7","0%"," 00:01:04",
113,"https://jupyter.cn/2019/08/22/questionaire-44268204","7","5","7","100%"," 00:01:45",
114,"https://jupyter.cn/2018/10/30/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E5%AD%A3%E8%8A%82%E5%9B%9E%E5%BD%92%E6%A8%A1%E5%9E%8B","4","5","7","80%"," 00:01:19",
115,"https://jupyter.cn/2019/10/19/questionaire-46211010","7","7","7","100%"," 00:01:54",
116,"https://jupyter.cn/2019/08/21/questionaire-44376055","6","6","7","83.33%"," 00:03:10",
117,"https://jupyter.cn/2019/08/22/questionaire-44364421","4","4","7","80%"," 00:01:11",
118,"https://jupyter.cn/2019/08/19/questionaire-vmaeuy6","4","4","7","50%"," 00:02:10",
119,"https://jupyter.cn/2019/07/04/questionaire-41929677","6","6","6","100%"," 00:03:23",
120,"https://jupyter.cn/2019/06/25/questionaire-41435471","4","2","6","75%"," 00:01:38",
121,"https://jupyter.cn/2019/10/06/questionaire-46869240","1","1","6","50%"," 00:11:00",
122,"https://jupyter.cn/2018/09/01/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-M-plus-%E7%9B%B4%E7%BA%BF%E7%AD%89%E8%B7%9D%E6%8A%BD%E6%A0%B7","6","6","6","100%"," 00:00:51",
123,"https://jupyter.cn/2019/06/29/questionaire-42045933","6","6","6","100%"," 00:01:07",
124,"https://jupyter.cn/2019/07/22/questionaire-42793558","4","5","6","80%"," 00:01:46",
125,"https://jupyter.cn/2019/08/19/questionaire-44244498","3","3","6","66.67%"," 00:02:16",
126,"https://jupyter.cn/2018/08/21/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Python-%E5%AE%B9%E8%AE%B8%E5%9F%9F","2","2","6","0%"," 00:02:00",
127,"https://jupyter.cn/2018/11/29/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E7%BA%BF%E6%80%A7%E8%A7%84%E5%88%92%E5%85%B8%E8%8C%83%E5%9E%8B.1","6","6","6","100%"," 00:00:30",
128,"https://jupyter.cn/2019/07/08/questionaire-42433068","4","4","6","80%"," 00:01:49",
129,"https://jupyter.cn/2019/06/25/questionaire-41782024","6","6","6","100%"," 00:06:10",
130,"https://jupyter.cn/2019/10/17/questionaire-45704465","6","6","6","100%"," 00:00:59",
131,"https://jupyter.cn/2018/09/01/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E7%A4%BE%E4%BC%9A%E8%AE%A1%E9%87%8F%E5%AD%A6","6","6","6","100%"," 00:03:44",
132,"https://jupyter.cn/2019/06/25/questionaire-41395617","3","3","6","66.67%"," 00:01:57",
133,"https://jupyter.cn/2019/10/16/questionaire-47518558","5","5","6","100%"," 00:02:00",
134,"https://www.jupyter.cn","6","6","6","100%"," 00:00:01",
135,"https://jupyter.cn/2018/08/31/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E6%A3%80%E9%AA%8C%E5%8A%9F%E6%95%88%E5%87%BD%E6%95%B0","5","5","6","80%"," 00:03:40",
136,"https://jupyter.cn/2019/10/16/questionaire-47390448","4","4","6","80%"," 00:10:57",
137,"https://jupyter.cn/2018/08/22/%E7%A8%8B%E5%BA%8F%E5%BC%80%E5%8F%91--%E8%AE%A4%E7%9F%A5%E8%A1%8C%E4%B8%BA%E7%9F%AB%E6%AD%A3","3","3","6","33.33%"," 00:07:34",
138,"https://jupyter.cn/2019/08/12/questionaire-43561662","3","3","6","80%"," 00:07:18",
139,"https://jupyter.cn/2018/10/30/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Eviews-%E7%AE%80%E5%8D%95%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92%E6%A8%A1%E5%9E%8B","6","6","6","100%"," 00:01:29",
140,"https://jupyter.cn/2019/08/04/questionaire-26938396","4","4","6","80%"," 00:08:21",
141,"https://jupyter.cn/2018/11/28/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-Eviews-%E6%80%BB%E4%BD%93%E5%9D%87%E6%95%B0%E4%BC%B0%E8%AE%A1.1","5","5","6","80%"," 00:00:44",
142,"https://jupyter.cn/2019/09/09/questionaire-qqa2uaE","6","6","6","100%"," 00:01:59",
143,"https://jupyter.cn/2019/06/02/questionaire-39200914","3","3","6","80%"," 00:03:22",
144,"https://jupyter.cn/tags/SPSS","6","3","6","100%"," 00:01:22",
145,"https://jupyter.cn/2018/11/29/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-STATA-%E7%AE%80%E5%8D%95%E7%BA%BF%E6%80%A7%E5%9B%9E%E5%BD%92%E6%A8%A1%E5%9E%8B.1","5","5","6","80%"," 00:00:24",
146,"https://jupyter.cn/tags/%E6%96%B9%E5%B7%AE%E5%88%86%E6%9E%90%E4%B8%8E%E5%9B%9E%E5%BD%92%E5%88%86%E6%9E%90","6","6","6","100%"," 00:00:44",
147,"https://jupyter.cn/2019/09/12/questionaire-45559962","5","5","6","100%"," 00:02:00",
148,"https://jupyter.cn/2019/07/02/questionaire-42188729","5","5","5","100%"," 00:01:16",
149,"https://jupyter.cn/2018/11/29/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E6%9C%8D%E5%8A%A1-M-plus-%E6%9E%97%E5%BE%B7%E4%BC%AF%E6%A0%BC-%E8%8E%B1%E7%BB%B4%E4%B8%AD%E5%BF%83%E6%9E%81%E9%99%90%E5%AE%9A%E7%90%86","5","5","5","100%"," 00:00:55",
150,"https://jupyter.cn/2019/10/28/questionaire-44925455","2","2","5","50%"," 00:00:10",
